Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,1/1/2019,2019,1,1,,5.3,,0.8,,3.1,,14.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/2/2019,2019,1,2,,5.5,,2.4,,4,,14,,0,,3.4,,0,T,3.4,,,,6,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,1/3/2019,2019,1,3,,9.5,,4.5,,7,,11,,0,,54.8,,0,,54.8,,,,14,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,1/4/2019,2019,1,4,,10.4,,6.1,,8.3,,9.7,,0,,9.6,,0,,9.6,,,,15,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,1/5/2019,2019,1,5,,8.7,,5.3,,7,,11,,0,,3.2,,0,,3.2,,,,10,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,1/6/2019,2019,1,6,,7.9,,3.3,,5.6,,12.4,,0,,6.8,,0,,6.8,,,,24,,59,
-123.18,49.19,VANCOUVER INTL A,1108395,1/7/2019,2019,1,7,,5.8,,0.5,,3.2,,14.8,,0,,0,,0,T,0,T,,,28,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,1/8/2019,2019,1,8,,5.5,,-1,,2.3,,15.7,,0,,2.4,,0,,2.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/9/2019,2019,1,9,,10.5,,3.8,,7.2,,10.8,,0,,6.8,,0,,6.8,,,,15,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,1/10/2019,2019,1,10,,11.1,,8.2,,9.7,,8.3,,0,,3.6,,0,,3.6,,,,15,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,1/11/2019,2019,1,11,,10.2,,3.5,,6.9,,11.1,,0,,0,T,0,,0,T,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/12/2019,2019,1,12,,11.3,,-0.2,,5.6,,12.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/13/2019,2019,1,13,,8.7,,0.8,,4.8,,13.2,,0,,0,,0,,0,,,,,M,,M
